,first_purchase,shelf_price,pct_disc,pct_retail_disc,pct_coupon_disc,display_1,display_2,display_3,display_4,display_5,display_6,display_7,display_9,display_A,mailer_A,mailer_C,mailer_F,mailer_H,mailer_L,marital_status_A,marital_status_B,homeowner_Homeowner,homeowner_Probable Owner,homeowner_Probable Renter,homeowner_Renter,hhcomp_1 Adult Kids,hhcomp_2 Adults Kids,hhcomp_2 Adults No Kids,hhcomp_Single Female,hhcomp_Single Male,kid_category_1,kid_category_2,kid_category_3+,kid_category_None/Unknown,age_ordinal,income_ordinal,hhsize_ordinal,campaign_8.0,campaign_13.0,campaign_15.0,campaign_18.0,campaign_24.0,campaign_26.0,campaign_30.0,description_TypeA,description_TypeB,description_TypeC
45,True,9.99,0.3003003003003003,0.3003003003003003,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2.0,87.0,4.0,0,0,0,0,0,0,0,0,0,0
46,True,8.99,0.2224694104560622,0.2224694104560622,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2.0,87.0,4.0,0,0,0,0,0,0,0,0,0,0
47,False,8.99,0.2224694104560622,0.2224694104560622,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2.0,87.0,4.0,0,0,0,0,0,0,0,0,0,0
48,False,8.99,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2.0,87.0,4.0,0,0,0,0,0,0,0,0,0,0
49,False,8.99,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2.0,87.0,4.0,0,0,0,0,0,0,0,0,0,0
50,False,8.989999999999998,0.0778642936596217,0.0778642936596218,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2.0,87.0,4.0,0,0,0,0,0,0,0,0,0,0
51,False,8.989999999999998,0.0778642936596217,0.0778642936596218,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2.0,87.0,4.0,0,0,0,0,0,0,0,0,0,0
52,False,8.989999999999998,0.0778642936596217,0.0778642936596218,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2.0,87.0,4.0,0,0,0,0,0,0,0,0,0,0
53,False,8.989999999999998,0.0778642936596217,0.0778642936596218,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2.0,87.0,4.0,0,0,0,0,0,0,0,0,0,0
54,False,8.989999999999998,0.0778642936596217,0.0778642936596218,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2.0,87.0,4.0,0,0,0,0,0,0,0,0,0,0
55,False,8.99,0.1668520578420467,0.1668520578420467,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2.0,87.0,4.0,0,0,0,0,0,0,0,0,0,0
56,False,8.99,0.1668520578420467,0.1668520578420467,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2.0,87.0,4.0,0,0,0,0,0,0,0,0,0,0
57,False,8.99,0.1668520578420467,0.1668520578420467,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2.0,87.0,4.0,0,0,0,0,0,0,0,0,0,0
58,False,8.99,0.1668520578420467,0.1668520578420467,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2.0,87.0,4.0,0,0,0,0,0,0,0,0,0,0
59,False,8.99,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2.0,87.0,4.0,0,0,0,0,0,0,0,0,0,0
60,True,3.5900000000000003,0.4456824512534819,0.1671309192200556,0.2785515320334261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2.0,87.0,4.0,0,0,0,0,0,0,0,0,0,0
61,True,8.99,0.2224694104560622,0.2224694104560622,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2.0,87.0,4.0,0,0,0,0,0,0,0,0,0,0
62,False,8.99,0.2224694104560622,0.2224694104560622,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2.0,87.0,4.0,0,0,0,0,0,0,0,0,0,0
63,False,8.99,0.2224694104560622,0.2224694104560622,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2.0,87.0,4.0,0,0,0,0,0,0,0,0,0,0
64,False,8.99,0.25027808676307,0.25027808676307,-0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2.0,87.0,4.0,0,0,0,0,0,0,0,0,0,0
65,False,8.99,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2.0,87.0,4.0,0,0,0,0,0,0,0,0,0,0
66,False,8.99,0.2780867630700778,0.2780867630700778,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2.0,87.0,4.0,0,0,0,0,0,0,0,0,0,0
